"barcode","ptype","circ"
"21743004847356","0","4"
"21743005202445","6","4"
"21743003742079","6","4"
"21743004033544","4","4"
"21743002975555","0","4"
"21743005057278","0","4"
"21743004670592","2","4"
"21743003768504","0","4"
"21743005133988","0","4"
"21743003718251","2","4"
"21743005004213","0","4"
"21743005368725","5","4"
"21743004537387","0","4"
"21743004824371","0","4"
"21743003962891","0","4"
"21743003723012","0","4"
"21743003825841","2","4"
"21743003516770","8","4"
"21743003675626","0","4"
"21743003473501","2","4"
"21743003938420","6","4"
"21743005049770","2","4"
"21743003517414","8","4"
"21743004099024","0","4"
"21743004685624","4","4"
"21743004806238","0","4"
"21743004642559","1","4"
"21743004636361","8","4"
"21743004981973","0","4"
"21743005048632","2","4"
"21743005014881","0","4"
"21743004797940","0","4"
"21743004961272","0","4"
"21743005145180","0","4"
"21743004825915","6","4"
"21743004905402","13","4"
"21743005326228","1","4"
"21743004916342","0","4"
"21743005720156","3","4"
"21743005542055","0","4"
"21743005121603","0","4"
"21743004514006","0","4"
"21743004588869","2","4"
"21743004577292","0","4"
"21743004624078","0","4"
"21743004688784","2","4"
"21743005354949","4","4"
"21743004692588","19","4"
"21743004779245","0","4"
"21743004606471","1","4"
"21743004819454","2","4"
"21743004773537","0","4"
"21743004856498","2","4"
"21743004038188","0","4"
"21743004016382","4","4"
"21743005147681","2","4"
"21743003994720","0","4"
"21743002577591","2","4"
"21743002147171","0","4"
"21743003981560","0","4"
"21743004520185","0","4"
"21743004038626","0","4"
"21743004502548","2","4"
"21743005610985","0","4"
"21743004827234","6","4"
"21743002231066","2","4"
"21743002170678","6","4"
"21743002302909","6","4"
"21743003986676","0","4"
"21743003727120","0","4"
"21743001421874","6","4"
"21743001523810","0","4"
"21743001743673","0","4"
"21743001639533","0","4"
"21743004942306","0","4"
"21743001138866","0","4"
"21743004090742","0","4"
"21743003979721","0","4"
"21743005074687","0","4"
"21743005584842","0","4"
"21743005677448","19","4"
"21743000718734","0","4"
"21743005676515","0","4"
"21743000525451","2","4"
"21743005725064","2","4"
"21743003223252","0","4"
"21743005385489","0","4"
"21743005247309","0","4"
"21743005430483","2","4"
"21743005603626","3","4"
"21743005548425","6","4"
"21743005429626","0","4"
"21743005666128","0","4"
"21743005390620","6","4"
"21743005543087","0","3"
"21743003499738","0","3"
"21743005527601","0","3"
"21743005677125","4","3"
"21743005721485","4","3"
"21743005067921","9","3"
"21743005388871","0","3"
"21743002289940","0","3"
"21743004822607","0","3"
"21743004538831","0","3"
"21743005082623","4","3"
"21743003315538","2","3"
"21743005247119","0","3"
"21743005554324","2","3"
"21743005677786","0","3"
"21743005548920","6","3"
"21743005586680","0","3"
"21743005428925","2","3"
"21743004563078","0","3"
"21743004034047","0","3"
"21743003979275","0","3"
"21743001256304","0","3"
"21743004055935","0","3"
"21743003470242","0","3"
"21743005493812","0","3"
"21743000914374","0","3"
"21743004010450","4","3"
"21743004020558","2","3"
"21743003978863","2","3"
"21743004055323","0","3"
"21743004062600","0","3"
"21743005246616","0","3"
"21743001524115","2","3"
"21743005138938","2","3"
"21743004937264","12","3"
"21743003786068","0","3"
"21743004526265","0","3"
"21743004668588","2","3"
"21743002180925","10","3"
"21743003126554","6","3"
"21743002373546","4","3"
"21743004831855","0","3"
"21743004707543","0","3"
"21743003144110","0","3"
"21743002168417","0","3"
"21743005273842","0","3"
"21743004081360","4","3"
"21743005560941","0","3"
"21743004092599","2","3"
"21743004746384","10","3"
"21743002729358","0","3"
"21743004093142","2","3"
"21743003995917","0","3"
"21743005279013","4","3"
"21743004786174","2","3"
"21743004530945","0","3"
"21743005297031","0","3"
"21743004730164","0","3"
"21743004651485","2","3"
"21743003992070","4","3"
"21743004600946","10","3"
"21743004560884","2","3"
"21743004515722","2","3"
"21743005458872","0","3"
"21743004058178","10","3"
"21743004072336","0","3"
"21743004713509","0","3"
"21743004717609","0","3"
"21743004654240","2","3"
"21743004587325","2","3"
"21743004516563","0","3"
"21743005059233","0","3"
"21743005046743","0","3"
"21743005046750","0","3"
"21743004887758","0","3"
"21743004907978","2","3"
